,title,description,content,url,publishedAt,source
0,"UK Finance wants banks to limit digital pound holdings to £5,000","Earlier this year, the Bank of England and the UK finance ministry published a consultation paper for the design of … Continued
The post UK Finance wants banks to limit digital pound holdings to £5,000 appeared first on Finbold.","Earlier this year, the Bank of England and the UK finance ministry published a consultation paper for the design of a central bank digital currency (CBDC). 
At the time, the officials said that a di… [+1825 chars]",https://finbold.com/uk-finance-wants-banks-to-limit-digital-pound-holdings-to-5000/,2023-07-04T09:42:28Z,Finbold.com
1,Why fiat payment gateways should add cryptocurrency,"Online commerce has evolved significantly in recent years. Today, you can order pretty much everythi...","Online commerce has evolved significantly in recent years. Today, you can order pretty much everything online from mouth-watering food to a nose-picking pencil sharpener and everything in between. Co… [+4908 chars]",https://www.finextra.com/blogposting/24453/why-fiat-payment-gateways-should-add-cryptocurrency,2023-07-04T09:26:34Z,Finextra
2,Chinese city of Jinan accepts CBDC payments for bus rides,"Jinan, the capital of eastern China’s Shandong Province, has begun encouraging the adoption of the country's central bank digital currency (CBDC) program by introducing the acceptance of digital yuan payments across all its bus routes. In its pilot phase, the…","Jinan, the capital of eastern Chinas Shandong Province, has begun encouraging the adoption of the country's central bank digital currency (CBDC) program by introducing the acceptance of digital yuan … [+305 chars]",https://biztoc.com/x/aa96ea2f6b563a76,2023-07-04T09:26:09Z,Biztoc.com
3,"Worldwide Factoring Services Market 2023-2030 by Category (Domestic, International), Type (Recourse, Non-Recourse), Financial Institution, End-use & Region","Dublin, July 04, 2023 (GLOBE NEWSWIRE) -- The ""Factoring Services Market Size, Share & Trends Analysis Report By Category (Domestic, International), By Type (Recourse, Non-Recourse), By Financial Institution, By End-use, By Region, And Segment Forecasts, 2023…","Dublin, July 04, 2023 (GLOBE NEWSWIRE) -- The ""Factoring Services Market Size, Share &amp; Trends Analysis Report By Category (Domestic, International), By Type (Recourse, Non-Recourse), By Financial… [+7367 chars]",https://www.globenewswire.com/news-release/2023/07/04/2698888/28124/en/Worldwide-Factoring-Services-Market-2023-2030-by-Category-Domestic-International-Type-Recourse-Non-Recourse-Financial-Institution-End-use-Region.html,2023-07-04T09:23:00Z,GlobeNewswire
4,Prediction: 10 Stocks That Will Have Trillion-Dollar Valuations by 2035,Hint: Neither Tesla nor Nvidia made the cut.,"If history demonstrates anything, it's that change is one of Wall Street's only constants. Looking back to the start of the century, only one of the 10 largest publicly traded companies by market cap… [+9311 chars]",https://www.fool.com/investing/2023/07/04/prediction-10-stocks-trillion-dollar-valuations/,2023-07-04T09:21:00Z,Motley Fool
5,BIS builds out 'game-changing' blueprint for the future monetary and financial system,"A novel type of financial infrastructure combining tokenised money and assets on a programmable platform could radically alter the global financial system, argues a new report from the Bank for International Settlements.","A novel type of financial infrastructure combining tokenised money and assets on a programmable platform could radically alter the global financial system, argues a new report from the Bank for Inter… [+1831 chars]",https://www.finextra.com/newsarticle/42587/bis-builds-out-game-changing-blueprint-for-the-future-monetary-and-financial-system,2023-07-04T09:20:14Z,Finextra
6,Chinese city of Jinan accepts CBDC payments for bus rides,Jinan is also incentivizing the use of CBDC payments for bus fares by providing up to six discounted rides per month for passengers.,"Jinan, the capital of eastern Chinas Shandong Province, has begun encouraging the adoption of the country's central bank digital currency (CBDC) program by introducing the acceptance of digital yuan … [+2009 chars]",https://cointelegraph.com/news/cbdc-legal-tender-in-chinese-city-jinan-for-bus-rides,2023-07-04T09:15:31Z,Cointelegraph
7,"Zimbabwe: RBZ Mops Up ZW$246,5 Billion Through Gold Backed Digital Tokens Sales","[New Zimbabwe] THE Reserve Bank of Zimbabwe (RBZ) latest Gold Backed Digital Tokens sales mopped up a total ZW$246,5 million going a step further in cleansing the market of bad excess cash normally used to fuel parallel market activities.","THE Reserve Bank of Zimbabwe (RBZ) latest Gold Backed Digital Tokens sales mopped up a total ZW$246,5 million going a step further in cleansing the market of bad excess cash normally used to fuel par… [+1545 chars]",https://allafrica.com/stories/202307040244.html,2023-07-04T09:12:46Z,AllAfrica - Top Africa News
8,Just Cause Mobile Cancelled,Upcoming free-to-play game Just Cause Mobile has been canceled by Square Enix ahead of its expected launch later this year.,"Square Enix has canceled Just Cause Mobile, its upcoming free-to-play game.
In a statement to VGC, Just Cause global brand lead Anne-Lou Grosbois-Favreau confirmed development has now been stopped o… [+2113 chars]",https://www.ign.com/articles/just-cause-mobile-cancelled,2023-07-04T09:00:50Z,IGN
9,Bitcoin Bulls Remain Optimistic Despite Low Liquidity Levels Ahead Of U.S. Independence Day,"As the U.S. celebrates Independence Day, Bitcoin (BTC) bulls are rubbing their hands in glee at the prospects of the asset surpassing its 52-week high.","<ul><li>Bitcoin could surpass its one-year high after finishing June on a positive note.</li><li>Experts say the decline in liquidity has the potential to result in an upward trend, as on-chain metri… [+2384 chars]",https://zycrypto.com/bitcoin-bulls-remain-optimistic-despite-low-liquidity-levels-ahead-of-u-s-independence-day/,2023-07-04T08:56:44Z,ZyCrypto
10,Gemini Issues Ultimatum: Threatens Legal Action Against DCG and Barry Silbert Over $630 Million Debt,"Gemini, the cryptocurrency exchange founded by Cameron and Tyler Winklevoss, has issued yet another open letter to Digital Currency Group (DCG) and its CEO, Barry Silbert. The letter, dated July 3, serves as a direct warning to DCG, stating that if they fail …","Gemini, the cryptocurrency exchange founded by Cameron and Tyler Winklevoss, has issued yet another open letter to Digital Currency Group (DCG) and its CEO, Barry Silbert. The letter, dated July 3, s… [+302 chars]",https://biztoc.com/x/86c3ec95c0f1af9d,2023-07-04T08:56:04Z,Biztoc.com
11,‘Best and final offer’: Winklevoss demands nearly $1.5B from DCG,"Gemini co-founder Cameron Winklevoss has delivered a “best and final offer” to Digital Currency Group (DCG) boss Barry Silbert over the Genesis Global Capital saga. In an open letter, Winklevoss again accused Silbert of failing to honor a $1.2 billion debt ow…","Gemini co-founder Cameron Winklevoss has delivered a best and final offer to Digital Currency Group (DCG) boss Barry Silbert over the Genesis Global Capital saga.In an open letter, Winklevoss again a… [+310 chars]",https://biztoc.com/x/e62153ab49289d84,2023-07-04T08:48:05Z,Biztoc.com
12,TRON Unveils HackaTRON S5 and Developer Community Event TRON Builder Tour,"Geneva, Switzerland, July 4th, 2023, ChainwireTRON DAO, BitTorrent Chain (BTTC), and Huobi Ventures proudly present HackaTRON Season 5 (S5), an incredible showcase of talent in the fast-paced world of blockchain technology. In tandem with the much-anticipated…","Geneva, Switzerland, July 4th, 2023, Chainwire
TRON DAO, BitTorrent Chain (BTTC), and Huobi Ventures proudly present HackaTRON Season 5 (S5), an incredible showcase of talent in the fast-paced world… [+6782 chars]",https://cryptodaily.co.uk/2023/07/tron-unveils-hackatron-s5-and-developer-community-event-tron-builder-tour,2023-07-04T08:40:05Z,Crypto Daily
13,Why is the Verge (XVG) price soaring? It’s up 295%,"At press time, the price of XVG token had soared 295% over the past seven days. The token was trading at $0.006906. The Verge’s market cap has also gone up by almost 400% over the past three weeks. What started as a slow steady bull case for the Verge (XVG) t…","Please be aware that some of the links on this site will direct you to the websites of third parties, some of whom are marketing affiliates and/or business partners of this site and/or its owners, op… [+2173 chars]",https://coinjournal.net/news/why-is-the-verge-xvg-price-soaring-its-up-295/,2023-07-04T08:39:38Z,Coinjournal.net
14,U.S. Rivals Are Challenging the Dollar. Stablecoins Could Help Defend It.,"New legislation to regulate stablecoins could help cement the dollar as the world's central currency, writes Corey Then.","About the author: Corey Then is vice president of global policy at Circle, a former member of the Obama administration, and a member of the Commodity Futures Trading Commission Technology Advisory Co… [+4757 chars]",https://www.barrons.com/articles/rivals-are-challenging-the-dollar-stablecoins-could-help-defend-it-a986273e,2023-07-04T08:06:39Z,Barron's
